name,source,type,cleaned_name,freq
Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array,163914
Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Array,163914
Java,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Java,124661
Java,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Java,124661
Oracle,https://en.wikipedia.org/wiki/List_of_relational_database_management_systems,dbms,Oracle,91736
Boosting (meta-algorithm),https://en.wikipedia.org/wiki/List_of_algorithms,comp-sci-algo,Boosting,80409
A# .NET,https://en.wikipedia.org/wiki/List_of_programming_languages,language,A# .NET,79877
SR,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SR,75987
Swift (Apple programming language),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Swift,66778
Swift (parallel scripting language),https://en.wikipedia.org/wiki/List_of_programming_languages,language,Swift,66778
Swift,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Swift,66778
USB,https://en.wikipedia.org/wiki/List_of_network_protocol_stacks,protocol,USB,58101
Graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Graph,57853
Mesa,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Mesa,56104
Maple,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Maple,55629
Maple,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Maple,55629
Stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Stack,55526
Curry,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Curry,52297
Ruby,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Ruby,48376
Ruby,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Ruby,48376
FOIL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,FOIL,48360
Miranda,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Miranda,46090
Transcript,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Transcript,44138
Cyclone,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Cyclone,42367
Pipelines,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Pipelines,41734
Pascal,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Pascal,40038
ACC,https://en.wikipedia.org/wiki/List_of_programming_languages,language,ACC,39309
Falcon,https://en.wikipedia.org/wiki/Comparison_of_programming_languages,language,Falcon,38164
SOL,https://en.wikipedia.org/wiki/List_of_programming_languages,language,SOL,38077
Oz,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Oz,38043
Atom,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,javascript,Atom,35826
Queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure,Queue,34677
Parity,https://en.wikipedia.org/wiki/List_of_algorithms,coding-theory-algo,Parity,34430
AMOS,https://en.wikipedia.org/wiki/List_of_programming_languages,language,AMOS,33603
Delphi,https://en.wikipedia.org/wiki/List_of_programming_languages,language,Delphi,33148
Delphi,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,pascal,Delphi,33148
Brackets,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,javascript,Brackets,32854
Eclipse,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,c-sharp,Eclipse,31134
Eclipse,https://en.wikipedia.org/wiki/Comparison_of_integrated_development_environments,d,Eclipse,31134
